0.01.958.052 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.964.256 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.01.964.263 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.01.964.407 I srv          init: The UI is disabled
0.01.964.408 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.01.964.530 W srv  llama_server: -----------------
0.01.964.536 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.01.964.536 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.01.964.536 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.01.964.537 W srv  llama_server: -----------------
0.01.971.163 I srv    load_model: loading model 'C:/Projelerim/modeller/e5-small-alt-q8_0.gguf'
0.03.821.203 W load: model vocab missing newline token, using special_pad_id instead
0.03.962.743 W llama_context: n_ctx_seq (512) > n_ctx_train (511) -- possible training context overflow
0.03.966.368 I cmn          init: llama threadpool init, n_threads = 12
0.03.989.397 W srv    load_model: the slot context (512) exceeds the training context of the model (511) - capping
0.03.989.407 W srv    load_model: speculative decoding not supported by this context
0.03.989.408 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 511, kv_unified = 'true'
0.03.994.748 I srv  llama_server: model loaded
0.03.994.760 I srv  llama_server: listening on http://127.0.0.1:8093
0.04.296.512 I slot launch_slot_: id  0 | task 38 | processing task, is_child = 0
0.04.301.719 I slot      release: id  0 | task 38 | stop processing: n_tokens = 15, truncated = 0
0.04.303.774 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2325257
0.04.303.784 I slot launch_slot_: id  3 | task 40 | processing task, is_child = 0
0.04.310.332 I slot      release: id  3 | task 40 | stop processing: n_tokens = 20, truncated = 0
0.04.312.826 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2332015
0.04.312.840 I slot launch_slot_: id  2 | task 42 | processing task, is_child = 0
0.04.318.436 I slot      release: id  2 | task 42 | stop processing: n_tokens = 16, truncated = 0
0.04.320.933 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2339193
0.04.320.946 I slot launch_slot_: id  1 | task 44 | processing task, is_child = 0
0.04.327.354 I slot      release: id  1 | task 44 | stop processing: n_tokens = 21, truncated = 0
0.04.329.905 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2347152
0.04.329.918 I slot launch_slot_: id  0 | task 46 | processing task, is_child = 0
0.04.335.240 I slot      release: id  0 | task 46 | stop processing: n_tokens = 17, truncated = 0
0.04.347.056 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2355767
0.04.347.069 I slot launch_slot_: id  3 | task 48 | processing task, is_child = 0
0.04.352.861 I slot      release: id  3 | task 48 | stop processing: n_tokens = 18, truncated = 0
0.04.355.302 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2363867
0.04.355.315 I slot launch_slot_: id  2 | task 50 | processing task, is_child = 0
0.04.361.050 I slot      release: id  2 | task 50 | stop processing: n_tokens = 18, truncated = 0
0.04.363.422 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2372787
0.04.363.438 I slot launch_slot_: id  1 | task 52 | processing task, is_child = 0
0.04.369.309 I slot      release: id  1 | task 52 | stop processing: n_tokens = 19, truncated = 0
0.04.371.765 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2380672
0.04.371.774 I slot launch_slot_: id  0 | task 54 | processing task, is_child = 0
0.04.377.136 I slot      release: id  0 | task 54 | stop processing: n_tokens = 19, truncated = 0
0.04.379.378 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2398295
0.04.379.390 I slot launch_slot_: id  3 | task 56 | processing task, is_child = 0
0.04.385.270 I slot      release: id  3 | task 56 | stop processing: n_tokens = 19, truncated = 0
0.04.387.560 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2406483
0.04.387.573 I slot launch_slot_: id  2 | task 58 | processing task, is_child = 0
0.04.393.488 I slot      release: id  2 | task 58 | stop processing: n_tokens = 19, truncated = 0
0.04.410.414 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2414741
0.04.410.428 I slot launch_slot_: id  1 | task 60 | processing task, is_child = 0
0.04.415.384 I slot      release: id  1 | task 60 | stop processing: n_tokens = 16, truncated = 0
0.04.417.670 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2422568
0.04.417.682 I slot launch_slot_: id  0 | task 62 | processing task, is_child = 0
0.04.423.066 I slot      release: id  0 | task 62 | stop processing: n_tokens = 18, truncated = 0
0.04.425.294 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2430703
0.04.425.307 I slot launch_slot_: id  3 | task 64 | processing task, is_child = 0
0.04.431.144 I slot      release: id  3 | task 64 | stop processing: n_tokens = 19, truncated = 0
0.04.433.503 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2438921
0.04.433.524 I slot launch_slot_: id  2 | task 66 | processing task, is_child = 0
0.04.438.531 I slot      release: id  2 | task 66 | stop processing: n_tokens = 16, truncated = 0
0.04.440.780 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2460817
0.04.440.797 I slot launch_slot_: id  1 | task 68 | processing task, is_child = 0
0.04.447.995 I slot      release: id  1 | task 68 | stop processing: n_tokens = 21, truncated = 0
0.04.450.452 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2468499
0.04.450.466 I slot launch_slot_: id  0 | task 70 | processing task, is_child = 0
0.04.456.176 I slot      release: id  0 | task 70 | stop processing: n_tokens = 16, truncated = 0
0.04.458.685 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2476576
0.04.458.698 I slot launch_slot_: id  3 | task 72 | processing task, is_child = 0
0.04.464.687 I slot      release: id  3 | task 72 | stop processing: n_tokens = 18, truncated = 0
0.04.467.127 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2483963
0.04.467.141 I slot launch_slot_: id  2 | task 74 | processing task, is_child = 0
0.04.473.617 I slot      release: id  2 | task 74 | stop processing: n_tokens = 21, truncated = 0
0.04.476.044 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2493429
0.04.476.062 I slot launch_slot_: id  1 | task 76 | processing task, is_child = 0
0.04.481.491 I slot      release: id  1 | task 76 | stop processing: n_tokens = 17, truncated = 0
0.04.483.681 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2501609
0.04.483.697 I slot launch_slot_: id  0 | task 78 | processing task, is_child = 0
0.04.489.307 I slot      release: id  0 | task 78 | stop processing: n_tokens = 16, truncated = 0
0.04.491.719 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2510120
0.04.491.733 I slot launch_slot_: id  3 | task 80 | processing task, is_child = 0
0.04.497.234 I slot      release: id  3 | task 80 | stop processing: n_tokens = 16, truncated = 0
0.04.499.553 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2519052
0.04.499.563 I slot launch_slot_: id  2 | task 82 | processing task, is_child = 0
0.04.504.588 I slot      release: id  2 | task 82 | stop processing: n_tokens = 14, truncated = 0
0.04.506.887 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2526925
0.04.506.903 I slot launch_slot_: id  1 | task 84 | processing task, is_child = 0
0.04.512.326 I slot      release: id  1 | task 84 | stop processing: n_tokens = 16, truncated = 0
0.04.523.625 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2534741
0.04.523.640 I slot launch_slot_: id  0 | task 86 | processing task, is_child = 0
0.04.529.897 I slot      release: id  0 | task 86 | stop processing: n_tokens = 22, truncated = 0
0.04.532.075 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2542668
0.04.532.091 I slot launch_slot_: id  3 | task 88 | processing task, is_child = 0
0.04.537.422 I slot      release: id  3 | task 88 | stop processing: n_tokens = 18, truncated = 0
0.04.555.604 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2550022
0.04.555.613 I slot launch_slot_: id  2 | task 90 | processing task, is_child = 0
0.04.560.709 I slot      release: id  2 | task 90 | stop processing: n_tokens = 17, truncated = 0
0.04.562.909 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2557758
0.04.562.921 I slot launch_slot_: id  1 | task 92 | processing task, is_child = 0
0.04.568.485 I slot      release: id  1 | task 92 | stop processing: n_tokens = 19, truncated = 0
0.04.570.717 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2575328
0.04.570.733 I slot launch_slot_: id  0 | task 94 | processing task, is_child = 0
0.04.577.430 I slot      release: id  0 | task 94 | stop processing: n_tokens = 23, truncated = 0
0.04.579.810 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2582856
0.04.579.821 I slot launch_slot_: id  3 | task 96 | processing task, is_child = 0
0.04.584.677 I slot      release: id  3 | task 96 | stop processing: n_tokens = 16, truncated = 0
0.04.600.070 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2606141
0.04.600.089 I slot launch_slot_: id  2 | task 98 | processing task, is_child = 0
0.04.604.666 I slot      release: id  2 | task 98 | stop processing: n_tokens = 14, truncated = 0
0.04.607.027 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2613918
0.04.607.044 I slot launch_slot_: id  1 | task 100 | processing task, is_child = 0
0.04.612.063 I slot      release: id  1 | task 100 | stop processing: n_tokens = 16, truncated = 0
0.04.614.500 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2622863
