[96/480] t2 U3 yorgun: 3864 ms, 224 tok, 77 C
[97/480] t2 U4 uyanik: 7698 ms, 448 tok, 77 C
[98/480] t2 U4 yorgun: 3901 ms, 224 tok, 77 C
[99/480] t2 U5 uyanik: 7800 ms, 448 tok, 78 C
[100/480] t2 U5 yorgun: 4005 ms, 224 tok, 77 C
[101/480] t2 D1 uyanik: 7806 ms, 448 tok, 78 C
[102/480] t2 D1 yorgun: 3980 ms, 224 tok, 78 C
[103/480] t2 D2 uyanik: 7761 ms, 448 tok, 78 C
[104/480] t2 D2 yorgun: 3878 ms, 224 tok, 78 C
[105/480] t2 D3 uyanik: 3820 ms, 218 tok, 78 C
[106/480] t2 D3 yorgun: 2859 ms, 164 tok, 78 C
[107/480] t2 D4 uyanik: 7677 ms, 448 tok, 78 C
[108/480] t2 D4 yorgun: 3831 ms, 224 tok, 78 C
[109/480] t2 D5 uyanik: 1477 ms, 81 tok, 78 C
[110/480] t2 D5 yorgun: 946 ms, 51 tok, 78 C
[111/480] t2 L3 uyanik: 569 ms, 27 tok, 78 C
[112/480] t2 L3 yorgun: 448 ms, 24 tok, 77 C
[113/480] t2 L4 uyanik: 7714 ms, 448 tok, 78 C
[114/480] t2 L4 yorgun: 3916 ms, 224 tok, 78 C
[115/480] t2 L5 uyanik: 426 ms, 17 tok, 78 C
[116/480] t2 L5 yorgun: 704 ms, 38 tok, 76 C
[117/480] t2 L6 uyanik: 7697 ms, 448 tok, 78 C
[118/480] t2 L6 yorgun: 3871 ms, 224 tok, 78 C
[119/480] t2 L7 uyanik: 1116 ms, 59 tok, 78 C
[120/480] t2 L7 yorgun: 1695 ms, 94 tok, 78 C
[121/480] t3 T1 uyanik: 1553 ms, 85 tok, 78 C
[122/480] t3 T1 yorgun: 1458 ms, 80 tok, 78 C
[123/480] t3 T2 uyanik: 1015 ms, 53 tok, 78 C
[124/480] t3 T2 yorgun: 778 ms, 40 tok, 79 C
[125/480] t3 L1 uyanik: 7706 ms, 448 tok, 79 C
[126/480] t3 L1 yorgun: 885 ms, 43 tok, 79 C
[127/480] t3 L2 uyanik: 604 ms, 24 tok, 78 C
[128/480] t3 L2 yorgun: 521 ms, 28 tok, 79 C
[129/480] t3 O1 uyanik: 897 ms, 47 tok, 78 C
[130/480] t3 O1 yorgun: 823 ms, 47 tok, 79 C
[131/480] t3 O2 uyanik: 657 ms, 32 tok, 79 C
[132/480] t3 O2 yorgun: 678 ms, 38 tok, 79 C
[133/480] t3 M1 uyanik: 917 ms, 45 tok, 79 C
[134/480] t3 M1 yorgun: 1514 ms, 84 tok, 79 C
[135/480] t3 M2 uyanik: 958 ms, 51 tok, 78 C
[136/480] t3 M2 yorgun: 677 ms, 38 tok, 78 C
[137/480] t3 B1 uyanik: 3731 ms, 215 tok, 79 C
[138/480] t3 B1 yorgun: 3923 ms, 224 tok, 79 C
[139/480] t3 B2 uyanik: 3786 ms, 215 tok, 78 C
[140/480] t3 B2 yorgun: 2608 ms, 145 tok, 79 C
[141/480] t3 K1 uyanik: 188 ms, 4 tok, 79 C
[142/480] t3 K1 yorgun: 112 ms, 4 tok, 79 C
[143/480] t3 K2 uyanik: 160 ms, 2 tok, 80 C
[durakla] GPU 80 C, 70 C bekleniyor
[devam] GPU 70 C
[144/480] t3 K2 yorgun: 539 ms, 2 tok, 70 C
[145/480] t3 K3 uyanik: 399 ms, 17 tok, 70 C
[146/480] t3 K3 yorgun: 318 ms, 17 tok, 70 C
[147/480] t3 K4 uyanik: 1343 ms, 73 tok, 73 C
[148/480] t3 K4 yorgun: 1833 ms, 106 tok, 74 C
[149/480] t3 K5 uyanik: 757 ms, 38 tok, 75 C
[150/480] t3 K5 yorgun: 750 ms, 39 tok, 75 C
[151/480] t3 U1 uyanik: 7631 ms, 448 tok, 75 C
[152/480] t3 U1 yorgun: 3828 ms, 224 tok, 76 C
[153/480] t3 U2 uyanik: 7658 ms, 448 tok, 77 C
[154/480] t3 U2 yorgun: 3904 ms, 224 tok, 77 C
[155/480] t3 U3 uyanik: 7748 ms, 448 tok, 77 C
[156/480] t3 U3 yorgun: 3933 ms, 224 tok, 78 C
[157/480] t3 U4 uyanik: 7894 ms, 448 tok, 78 C
[158/480] t3 U4 yorgun: 4156 ms, 224 tok, 78 C
[159/480] t3 U5 uyanik: 8202 ms, 448 tok, 76 C
[160/480] t3 U5 yorgun: 4212 ms, 224 tok, 79 C
[161/480] t3 D1 uyanik: 6933 ms, 369 tok, 79 C
[162/480] t3 D1 yorgun: 4199 ms, 224 tok, 79 C
[163/480] t3 D2 uyanik: 7825 ms, 446 tok, 79 C
[164/480] t3 D2 yorgun: 3950 ms, 224 tok, 79 C
[165/480] t3 D3 uyanik: 5905 ms, 338 tok, 79 C
[166/480] t3 D3 yorgun: 3382 ms, 192 tok, 79 C
[167/480] t3 D4 uyanik: 7723 ms, 448 tok, 79 C
[168/480] t3 D4 yorgun: 3914 ms, 224 tok, 79 C
[169/480] t3 D5 uyanik: 1220 ms, 57 tok, 79 C
[170/480] t3 D5 yorgun: 1534 ms, 86 tok, 79 C
[171/480] t3 L3 uyanik: 1061 ms, 56 tok, 79 C
[172/480] t3 L3 yorgun: 1540 ms, 86 tok, 79 C
[173/480] t3 L4 uyanik: 7721 ms, 448 tok, 79 C
[174/480] t3 L4 yorgun: 3948 ms, 224 tok, 79 C
[175/480] t3 L5 uyanik: 611 ms, 25 tok, 79 C
