0.00.165.527 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.169.892 W srv  llama_server: embeddings enabled with n_batch (2048) > n_ubatch (512)
0.00.169.897 W srv  llama_server: setting n_batch = n_ubatch = 512 to avoid assertion failure
0.00.170.000 I srv          init: The UI is disabled
0.00.170.000 I srv          init: Use --ui/--no-ui (or deprecated --webui/--no-webui) to enable/disable
0.00.170.090 W srv  llama_server: -----------------
0.00.170.094 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.170.094 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.170.095 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.170.095 W srv  llama_server: -----------------
0.00.186.198 I srv    load_model: loading model 'C:/Projelerim/modeller/bge-m3-q4_k_m.gguf'
0.01.505.963 W load: model vocab missing newline token, using special_pad_id instead
0.01.712.785 I cmn          init: llama threadpool init, n_threads = 12
0.01.741.798 W srv    load_model: speculative decoding not supported by this context
0.01.741.809 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'true'
0.01.745.886 I srv  llama_server: model loaded
0.01.745.896 I srv  llama_server: listening on http://127.0.0.1:8123
0.02.618.235 I slot launch_slot_: id  2 | task 38 | processing task, is_child = 0
0.02.639.780 I slot      release: id  2 | task 38 | stop processing: n_tokens = 17, truncated = 0
0.02.642.329 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.125 (> 0.100 thold), f_keep = 0.059
0.02.642.340 I slot launch_slot_: id  2 | task 40 | processing task, is_child = 0
0.02.654.954 I slot      release: id  2 | task 40 | stop processing: n_tokens = 8, truncated = 0
0.02.681.510 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2410721
0.02.681.524 I slot launch_slot_: id  1 | task 42 | processing task, is_child = 0
0.02.699.964 I slot      release: id  1 | task 42 | stop processing: n_tokens = 13, truncated = 0
0.02.713.026 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2432002
0.02.713.038 I slot launch_slot_: id  0 | task 44 | processing task, is_child = 0
0.02.729.801 I slot      release: id  0 | task 44 | stop processing: n_tokens = 11, truncated = 0
0.02.732.233 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2452944
0.02.732.245 I slot launch_slot_: id  3 | task 46 | processing task, is_child = 0
0.02.748.027 I slot      release: id  3 | task 46 | stop processing: n_tokens = 10, truncated = 0
0.02.750.285 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2492131
0.02.750.293 I slot launch_slot_: id  2 | task 48 | processing task, is_child = 0
0.02.765.742 I slot      release: id  2 | task 48 | stop processing: n_tokens = 10, truncated = 0
0.02.768.230 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2537140
0.02.768.241 I slot launch_slot_: id  1 | task 50 | processing task, is_child = 0
0.02.790.814 I slot      release: id  1 | task 50 | stop processing: n_tokens = 15, truncated = 0
0.02.793.350 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2566977
0.02.793.362 I slot launch_slot_: id  0 | task 52 | processing task, is_child = 0
0.02.814.893 I slot      release: id  0 | task 52 | stop processing: n_tokens = 17, truncated = 0
0.02.837.172 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2585205
0.02.837.183 I slot launch_slot_: id  3 | task 54 | processing task, is_child = 0
0.02.853.567 I slot      release: id  3 | task 54 | stop processing: n_tokens = 11, truncated = 0
0.02.856.032 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2602919
0.02.856.042 I slot launch_slot_: id  2 | task 56 | processing task, is_child = 0
0.02.872.549 I slot      release: id  2 | task 56 | stop processing: n_tokens = 11, truncated = 0
0.02.899.639 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2627991
0.02.899.646 I slot launch_slot_: id  1 | task 58 | processing task, is_child = 0
0.02.916.018 I slot      release: id  1 | task 58 | stop processing: n_tokens = 12, truncated = 0
0.02.917.995 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2652070
0.02.918.000 I slot launch_slot_: id  0 | task 60 | processing task, is_child = 0
0.02.937.479 I slot      release: id  0 | task 60 | stop processing: n_tokens = 16, truncated = 0
0.02.962.612 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.167 (> 0.100 thold), f_keep = 0.062
0.02.962.619 I slot launch_slot_: id  0 | task 62 | processing task, is_child = 0
0.02.973.531 I slot      release: id  0 | task 62 | stop processing: n_tokens = 6, truncated = 0
0.02.976.022 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2690745
0.02.976.032 I slot launch_slot_: id  3 | task 64 | processing task, is_child = 0
0.02.995.041 I slot      release: id  3 | task 64 | stop processing: n_tokens = 13, truncated = 0
0.02.997.500 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2709726
0.02.997.511 I slot launch_slot_: id  2 | task 66 | processing task, is_child = 0
0.03.013.210 I slot      release: id  2 | task 66 | stop processing: n_tokens = 10, truncated = 0
0.03.015.676 I slot get_availabl: id  2 | task -1 | selected slot by LCP similarity, f_sim_best = 0.143 (> 0.100 thold), f_keep = 0.100
0.03.015.687 I slot launch_slot_: id  2 | task 68 | processing task, is_child = 0
0.03.027.645 I slot      release: id  2 | task 68 | stop processing: n_tokens = 7, truncated = 0
0.03.030.125 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2753194
0.03.030.135 I slot launch_slot_: id  1 | task 70 | processing task, is_child = 0
0.03.050.174 I slot      release: id  1 | task 70 | stop processing: n_tokens = 14, truncated = 0
0.03.052.381 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2810709
0.03.052.392 I slot launch_slot_: id  0 | task 72 | processing task, is_child = 0
0.03.067.419 I slot      release: id  0 | task 72 | stop processing: n_tokens = 10, truncated = 0
0.03.069.888 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = 2832218
0.03.069.898 I slot launch_slot_: id  3 | task 74 | processing task, is_child = 0
0.03.085.471 I slot      release: id  3 | task 74 | stop processing: n_tokens = 10, truncated = 0
0.03.088.020 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.143 (> 0.100 thold), f_keep = 0.100
0.03.088.031 I slot launch_slot_: id  3 | task 76 | processing task, is_child = 0
0.03.100.045 I slot      release: id  3 | task 76 | stop processing: n_tokens = 7, truncated = 0
0.03.119.064 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.111 (> 0.100 thold), f_keep = 0.143
0.03.119.071 I slot launch_slot_: id  3 | task 78 | processing task, is_child = 0
0.03.132.385 I slot      release: id  3 | task 78 | stop processing: n_tokens = 9, truncated = 0
0.03.134.897 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.143 (> 0.100 thold), f_keep = 0.111
0.03.134.908 I slot launch_slot_: id  3 | task 80 | processing task, is_child = 0
0.03.146.621 I slot      release: id  3 | task 80 | stop processing: n_tokens = 7, truncated = 0
0.03.149.071 I slot get_availabl: id  3 | task -1 | selected slot by LCP similarity, f_sim_best = 0.125 (> 0.100 thold), f_keep = 0.143
0.03.149.078 I slot launch_slot_: id  3 | task 82 | processing task, is_child = 0
0.03.161.355 I slot      release: id  3 | task 82 | stop processing: n_tokens = 8, truncated = 0
0.03.163.794 I slot get_availabl: id  2 | task -1 | selected slot by LRU, t_last = 2864823
0.03.163.800 I slot launch_slot_: id  2 | task 84 | processing task, is_child = 0
0.03.186.293 I slot      release: id  2 | task 84 | stop processing: n_tokens = 17, truncated = 0
0.03.188.743 I slot get_availabl: id  1 | task -1 | selected slot by LRU, t_last = 2887352
0.03.188.753 I slot launch_slot_: id  1 | task 86 | processing task, is_child = 0
0.03.203.672 I slot      release: id  1 | task 86 | stop processing: n_tokens = 10, truncated = 0
0.03.206.091 I slot get_availabl: id  1 | task -1 | selected slot by LCP similarity, f_sim_best = 0.125 (> 0.100 thold), f_keep = 0.100
0.03.206.100 I slot launch_slot_: id  1 | task 88 | processing task, is_child = 0
0.03.218.779 I slot      release: id  1 | task 88 | stop processing: n_tokens = 8, truncated = 0
0.03.245.260 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 2904596
0.03.245.266 I slot launch_slot_: id  0 | task 90 | processing task, is_child = 0
0.03.266.811 I slot      release: id  0 | task 90 | stop processing: n_tokens = 15, truncated = 0
